2026-01-11 05:58:13,175 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:58:13,309 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:59:42,395 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:59:42,577 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:01:09,285 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:01:09,443 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:02:44,695 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:02:44,853 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:04:32,826 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:04:33,027 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:06:20,085 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:06:20,249 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:08:04,007 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:08:04,146 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:09:50,512 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:09:50,648 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:11:44,145 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:11:44,321 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:13:31,231 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:13:31,361 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:15:26,996 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:15:27,152 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:17:15,941 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:17:16,101 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:19:12,159 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:19:12,295 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:21:01,633 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:21:01,801 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:22:57,712 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:22:57,863 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:24:56,907 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:24:57,053 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:26:56,796 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:26:56,940 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:28:56,121 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:28:56,284 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:30:59,322 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:30:59,475 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:33:19,618 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:33:19,767 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:35:32,697 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 06:35:32,842 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 06:37:39,319 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
