2026-01-11 12:16:49,000 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 13:17:13,649 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 13:17:13,754 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:12:35,127 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 14:12:53,428 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:15:51,441 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:15:51,540 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:16:15,364 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:16:22,040 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 14:16:40,331 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 14:17:23,209 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:17:23,292 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:17:23,683 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:17:27,706 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:17:28,865 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:20:16,174 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:20:16,241 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:21:40,167 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:37:40,737 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:37:40,942 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 14:37:43,475 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 14:37:48,050 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:40:27,054 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 14:40:28,458 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 14:40:28,571 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
